Filename,Title,Authors,Application,Definition_of_Deepfake,Identity_Source,Identity_Source_Reasoning,Intent,Intent_Reasoning,Modality,Modality_Reasoning,Manipulation_Granularity,Manipulation_Granularity_Reasoning,Cites,Year,Source,Publisher,RelatedURL
Deep_Learning_for_Deepfakes_Creation_and.pdf,Deep learning for deepfakes creation and detection,"TT Nguyen, CM Nguyen, DT Nguyen…","Entertainment (movies), identity theft/fraud, political manipulation, pornography, art/creativity, education",Deepfakes are artificial images or videos created using deep learning algorithms that mimic real ones to the extent that humans cannot distinguish them.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping and identity replacement, which are examples of original-to-target transfer.",Deceptive,"The applications include malicious purposes like fraud and identity theft, making the intent deceptive.",Visual,The focus is on visual media such as images and videos.,Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes.,219,2019,arXiv preprint arXiv …,researchgate.net,"https://scholar.google.com/scholar?q=related:ULpaH-uovewJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
retrieve (3).pdf,"Artificial intelligence, disinformation and media literacy proposals around deepfakes.","M Garriga, R Ruiz-Incertis…",News media,Deepfakes are technologies used in disinformation strategies to deceive and manipulate public perception.,Original-to-Target Transfer,"The paper discusses deepfakes used in news media to replace identities, falling under face swapping.",Deceptive,Deepfakes are used for deceptive purposes like fraud and identity theft in disinformation strategies.,Visual,The focus is on visual content such as images and videos in news cycles.,Holistic,Deepfakes involve holistic identity replacement rather than specific attribute changes.,8,2024,Observatorio …,search.ebscohost.com,"https://scholar.google.com/scholar?q=related:eMSDIrIDWb0J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
2301.05819v1.pdf,Deepfake detection using biological features: a survey,"K Patil, S Kale, J Dhokey, A Gulhane","Identity theft/fraud (malicious impersonation), Political manipulation, Defamation individuals, Foment political turmoil","Deepfakes are realistic images or videos used to deceive by altering biological features such as faces, eyes, heartbeats, and expressions.",Original Modification,The paper discusses deepfakes that modify specific biological features like blinking and eye movements within the same individual.,Deceptive,"The applications mentioned, such as identity theft and political manipulation, indicate a deceptive intent.",Visual,All examples provided are visual media types focusing on faces and physiological features.,Targeted Attribute,The deepfakes involve modifying specific attributes like blinking or eye movements within the same person.,14,2023,arXiv preprint arXiv:2301.05819,arxiv.org,"https://scholar.google.com/scholar?q=related:40swNEmK7W8J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
8HB8KJJQ_Beerbaum - 2023 - Generative Artificial Intelligence (GAI) Softwareï¿½ï¿½ï¿½Assessment on Biased Behavi,Generative Artificial Intelligence (GAI) Software–Assessment on Biased Behavior,D Beerbaum,Misinformation and deep fake creation,"The paper discusses the generation of false or misleading content, such as deepfakes, which are used for harmful purposes like political manipulation and spreading misinformation.",Original-to-Target Transfer,"The paper discusses the creation of deepfakes that involve replacing or swapping identities, which falls under original-to-target transfer.",Deceptive,The focus is on using these technologies for malicious purposes such as misinformation and political manipulation.,Visual,The paper primarily discusses visual deepfakes used in images or videos.,Holistic,"The deepfakes involve complete identity replacement, making it holistic.",7,2023,Available at SSRN 4386395,papers.ssrn.com,"https://scholar.google.com/scholar?q=related:_OOz2HGNTYEJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
"repez, popescu.pdf",Social media and the threats against human security deepfake and fake news,"CPF Repez, MM Popescu",Political manipulation and spreading fake news for weakening security,Deepfakes are artificial face swaps used to deceive individuals or groups in political contexts.,Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping, which replaces identities between individuals.",Deceptive,The intent is to manipulate political contexts and spread disinformation for security threats.,Visual,The focus is on visual media like images and videos used in deepfakes.,Holistic,No reasoning provided,7,2020,"Romanian Military Thinking,(4)",ceeol.com,"https://scholar.google.com/scholar?q=related:efy-h6UrEYYJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
RJQPBF6H_Yan et al. - 2022 - System fingerprint recognition for deepfake audio An initial dataset and investigation.pdf,System fingerprint recognition for deepfake audio: An initial dataset and investigation,"X Yan, J Yi, C Wang, J Tao, J Zhou, H Gu…",Digital evidence forensics and model copyright protection,Deepfakes in this context refer to audio generated by specific tools or models that can be attributed to identify their source.,Original-to-Target Transfer,No reasoning provided,Deceptive,No reasoning provided,Audio,No reasoning provided,Targeted Attribute,No reasoning provided,3,2022,arXiv preprint arXiv …,arxiv.org,"https://scholar.google.com/scholar?q=related:n-_uTOAM_cYJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
Exploring_Deepfakes_Creation_Techniques.pdf,Exploring Deepfakes-Creation Techniques Detection Strategies and Emerging Challenges: A Survey,"J Gadgilwar, K Rahangdale, O Jaiswal…","The paper discusses the use of deepfakes in various applications such as entertainment, social media, and identity theft.","Deepfakes are artificial manipulations of images or videos to impersonate individuals, often for deceptive purposes.",Original-to-Target Transfer,"The paper discusses deepfakes involving face swapping or identity replacement from one person to another, which is a form of targeted attribute manipulation at the holistic level.",Deceptive,The paper mentions that these deepfakes are used for malicious purposes such as fraud and identity theft.,Visual,The paper focuses on image-based visual deepfakes.,Holistic,"The techniques discussed involve complete replacement of entire identities rather than specific attributes, hence holistic manipulation.",3,2023,… Journal for Research …,academia.edu,"https://scholar.google.com/scholar?q=related:HdUJXERBtEgJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
1540-Article Text-5091-5706-10-20230724.pdf,An appraisal of the implications of deep fakes: the need for urgent international legislations,"N Nnamdi, O Oniyinde, B Abegunde",Entertainment and social media,AI-generated fake videos/images used to deceive,Original-to-Target Transfer,The paper discusses face swapping deepfakes where identities are transferred between people,Deceptive,"The definition mentions these are often used to deceive, and applications include fraud and identity theft",Visual,The paper focuses on video-based visual deepfakes,Targeted Attribute,The deepfakes discussed involve modifying specific attributes like age and expression,8,2023,American Journal of …,researchgate.net,"https://scholar.google.com/scholar?q=related:H58kuYEc9UYJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
SNGHA6X2_Campbell et al. - 2022 - How deepfakes and artificial intelligence could reshape the advertising industry The coming reality.pdf,How deepfakes and artificial intelligence could reshape the advertising industry: The coming reality of AI fakes and their potential impact on consumer behavior,"C Campbell, K Plangger, S Sands…",Political manipulation through advertising,"AI-driven tools used to create convincing fake identities or images, particularly through face swapping.",Original-to-Target Transfer,"The paper discusses AI-assisted deepfakes focusing on face swapping to transfer identities, which is an original-to-target transformation.",Deceptive,"The intent behind these deepfakes is to manipulate voter behavior negatively, classified as deceptive.",Visual,"The focus is on video-based content, making it visual.",Holistic,The deepfakes involve complete identity replacement rather than specific attribute changes.,91,2022,Journal of Advertising …,Taylor &Francis,"https://scholar.google.com/scholar?q=related:0on57ReDUmQJ:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
fvets-08-740253.pdf,Is seeing still believing? Leveraging deepfake technology for livestock farming,S Neethirajan,Data augmentation for monitoring animal health and social interactions in livestock farming,"Deepfakes used here involve generating synthetic data based on real distributions to train models, particularly focusing on animal identities and emotions.",Original-to-Target Transfer,"The paper discusses using deepfakes for generating synthetic data, including face swaps or identity replacements in digital twins of livestock to enhance monitoring and social interaction analysis.",Non-deceptive,"The focus is on positive applications like improving animal welfare through accurate monitoring and models that identify health and emotions, without malicious intent.",Visual,"Deepfakes discussed are primarily visual, as they involve images or videos used for monitoring and welfare assessment in livestock farming.",Holistic,"The deepfakes create holistic transformations of animal identities to simulate various social interactions and health scenarios, enhancing data diversity for model training.",31,2021,Frontiers in Veterinary Science,frontiersin.org,"https://scholar.google.com/scholar?q=related:I8HfF0t0Ax4J:scholar.google.com/&scioq=deepfake+artificial+intelligence&hl=en&as_sdt=0,5&as_ylo=2017"
